ASSETID,PERIOD,PRICE,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,AMENITYID,HASPARKINGSPACE,ISPARKINGSPACEINCLUDEDINPRICE,PARKINGSPACEPRICE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,CONSTRUCTIONYEAR,FLOORCLEAN,FLATLOCATIONID,CADCONSTRUCTIONYEAR,CADMAXBUILDINGFLOOR,CADDWELLINGCOUNT,CADASTRALQUALITYID,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_BLASCO,LONGITUDE,LATITUDE
A13897649379205781658,201806,683000,250,5,3,1,1,1,2,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,,10.0,1.0,1965,12,49,2,0,0,1,788994138036098,21758132450478,711633226492728,-368549277457565,394731468309327
A2232391945987398526,201806,211000,62,1,1,0,1,1,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,,2.0,,1920,4,8,6,0,0,1,545340791372892,296986185316433,869798223960088,-371620029330886,394727839034341
A1706825450985151271,201806,537000,160,3,2,0,1,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1900.0,2.0,1.0,1900,5,7,4,0,0,1,69566453148608,506659669092407,703794188051762,-371641086467002,394746942424115
A13205617979439174317,201806,121000,65,2,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,2.0,1.0,1949,5,6,3,0,1,0,85151193502019,586407289091683,573917234301627,-371452990655557,394762935514838
A1009382374307888253,201806,498000,190,6,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1947.0,3.0,1.0,1947,5,6,3,0,0,1,569290662936882,356129132004251,83343429232909,-371821715599556,394732929570469
A17298406989791830174,201806,522000,225,5,1,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1945.0,3.0,1.0,1945,5,6,3,0,1,0,57036612543875,446051908313982,83086952137269,-372728139709276,3947391704207
A13176245435333367335,201806,492000,140,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1933.0,6.0,1.0,1933,9,11,3,0,1,0,597308695597778,257310793495968,854569420284658,-370631401771987,394724912751103
A9749076593289413205,201806,116000,60,2,1,1,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,2.0,1.0,1988,4,7,6,0,0,1,67326723661832,437444295911727,727039979306012,-37116336975643,394741068742685
A17066362256626430130,201806,502000,140,2,2,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1930.0,6.0,1.0,1930,5,8,3,0,1,0,593809558355095,269143951047608,849146057035081,-370766700044519,394726024417592
A9613794491727409299,201806,91000,100,3,1,1,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,1.0,1.0,1900,2,3,6,0,1,0,505977274493847,308054259720667,900184776774345,-37217919349992,394727515051772
A14570792981456086144,201806,436000,135,2,1,0,1,1,3,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1995.0,2.0,1.0,1995,14,56,3,0,0,1,827173329643152,160034556829007,721263618345076,-36784109053741,39472815485033
A12825657289066903138,201806,1012000,309,5,4,0,1,1,3,0,0,60001,0,0,1,0,0,1,0,0,0,0,0,0,1980.0,2.0,1.0,1980,7,13,2,0,0,1,587814426872073,292242232849186,840489213243139,-371026361944665,394728065096467
A10161324558005856132,201806,212000,48,1,1,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2008.0,,,2008,4,5,3,0,0,1,556670110200698,336287085219837,84879858171146,-371805265796619,394731124092701
A7153351095823022687,201806,181000,43,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,3.0,1.0,1988,6,42,2,0,0,1,563981333061629,521292459853099,863006478831113,-373713071449807,394743086659295
A1199777173734701204,201806,572000,210,5,3,0,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,3.0,,1975,8,25,3,0,0,1,831137942306805,19381250151481,666754692527187,-368223143068917,394734727703425
A11145268640868842304,201806,155000,63,1,1,0,1,1,3,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1988.0,1.0,1.0,1988,6,42,2,0,1,0,568171242825316,534112801447635,864566657301751,-373826165709287,394743923008957
A6645964294369685085,201806,462000,140,2,2,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1933.0,6.0,1.0,1933,5,8,3,0,0,1,679098709702918,311421068312039,785933272646841,-369815120299424,394728691894249
A2831675083805136561,201806,486000,140,2,2,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1933.0,6.0,1.0,1933,5,8,3,0,1,0,605086304956393,2861792546001,8330812829222,-370737708466835,394727549351885
A11583143254339361362,201806,132000,100,3,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1890.0,2.0,1.0,1890,6,7,2,0,1,0,549503059116861,281768624652773,872301986280409,-371449887511515,394726719496371
A3080032898965477436,201806,632000,650,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1.0,1930,5,11,3,0,1,0,569149730980137,292937168150017,853118224443881,-37128254683702,394727942874254
A2309103282109627093,201806,537000,191,4,2,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1940.0,,1.0,1940,12,25,3,0,1,0,794248315648793,218799372965428,701136940726328,-368556819462384,394732551071086
A12369927021132859233,201806,213000,50,1,1,0,1,1,3,0,0,225001,0,0,0,0,1,1,0,0,0,0,0,0,2008.0,2.0,1.0,2008,4,8,6,0,0,1,527857468939835,269937905797197,893745543766258,-371629519369597,394725318720213
A4595234717398659434,201806,643000,500,3,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1.0,2004,4,5,5,0,0,1,719188719578332,454457457167022,67943471123869,-370972883679073,394745349866271
A11218156067248292988,201806,410000,127,3,2,1,1,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1930.0,2.0,1.0,1930,4,6,3,0,0,1,794955998153462,688570558140406,677313419739766,-372882595921385,394762988535889
A7731853325311377985,201806,256000,121,2,1,1,0,1,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1800.0,3.0,,1800,4,5,4,0,0,1,533868045665154,260990040332778,892840561625305,-371492186130612,394724747130625
A15765521332679252400,201806,723000,250,5,3,1,1,1,2,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1967.0,10.0,1.0,1967,12,49,2,0,0,1,759697882815951,224709731162812,796821612408776,-368385435408683,394722512512056
A10711036274372910836,201806,392000,100,2,1,0,1,1,3,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1966.0,2.0,1.0,1966,14,56,3,0,0,1,870943249787534,114488543055475,727663569934562,-367164017545246,394725839363896
