ASSETID;PERIOD;PRICE;CONSTRUCTEDAREA;ROOMNUMBER;BATHNUMBER;HASTERRACE;HASLIFT;HASAIRCONDITIONING;AMENITYID;HASPARKINGSPACE;ISPARKINGSPACEINCLUDEDINPRICE;PARKINGSPACEPRICE;HASNORTHORIENTATION;HASSOUTHORIENTATION;HASEASTORIENTATION;HASWESTORIENTATION;HASBOXROOM;HASWARDROBE;HASSWIMMINGPOOL;HASDOORMAN;HASGARDEN;ISDUPLEX;ISSTUDIO;ISINTOPFLOOR;CONSTRUCTIONYEAR;FLOORCLEAN;FLATLOCATIONID;CADCONSTRUCTIONYEAR;CADMAXBUILDINGFLOOR;CADDWELLINGCOUNT;CADASTRALQUALITYID;BUILTTYPEID_1;BUILTTYPEID_2;BUILTTYPEID_3;DISTANCE_TO_CITY_CENTER;DISTANCE_TO_METRO;DISTANCE_TO_BLASCO;LONGITUDE;LATITUDE
A17659191414842225942;201806;104000;80;3;1;0;1;0;3;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1970;4;2;1970;16;64;7;0;0;1;227.560.409.293.993;0.443371486241727;0.890697413374022;-0.350511270707472;394.663.497.600.196
A16131177223771346941;201806;88000;75;2;1;0;0;1;3;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;NA;2;1;1963;4;17;7;0;0;1;322.444.041.785.002;0.194498128200223;0.85321871033572;-0.339998158263138;394.634.610.257.105
A10601122320582206819;201806;99000;90;3;1;0;1;0;3;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;1975;1;1;1975;8;28;6;0;0;1;306.222.850.684.104;0.317961942007061;0.913473908106224;-0.341913129828864;394.635.318.676.188
A438480657715080488;201806;123000;96;3;1;0;1;0;3;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;NA;3;2;1974;7;45;6;0;0;1;260.231.599.406.908;0.325819541103204;0.453321092024444;-0.346341789736743;394.693.266.131.067
A15489004191854050374;201806;89000;80;2;1;1;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1962;4;1;1962;5;17;7;0;1;0;233.752.518.866.159;0.279081022795863;0.696148233860337;-0.349521090825607;394.679.397.496.863
A11837486818554814066;201806;179000;117;2;2;0;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1978;5;1;1978;9;29;6;0;0;1;278.501.589.982.208;0.11530114875878;0.488364882151125;-0.344264496318025;394.683.242.314.913
A4063736141432282293;201806;157000;80;2;1;0;1;1;3;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;NA;3;2;1973;7;15;7;0;0;1;268.836.261.146.313;0.466345317930165;0.964632880181703;-0.346149478058428;394.642.953.338.909
A17553459295241682747;201806;103000;76;3;1;0;1;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;NA;4;2;1966;8;38;6;0;0;1;26.817.974.170.054;0.235575443253732;0.6808624300692;-0.345631516612155;394.669.140.624.933
A1395098229174744369;201806;96000;74;3;1;0;1;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1964;4;NA;1964;7;29;6;0;0;1;264.674.118.625.501;0.242000148528967;0.621764586877348;-0.345939885587016;394.676.688.324.144
A4501885581522744471;201806;218000;120;3;2;0;1;1;3;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2001;5;NA;2001;7;153;5;0;0;1;315.413.414.476.144;0.253343526312479;0.515860288410706;-0.340114114297972;394.668.239.444.971
A14140222580709691605;201806;103000;95;3;1;0;1;0;3;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;NA;5;1;1966;8;33;6;0;0;1;260.591.177.645.115;0.292062116972845;0.67383995965022;-0.346465904455753;394.672.844.591.916
A10848241337426853150;201806;71000;80;3;1;0;0;0;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;NA;4;1;1965;6;16;7;0;0;1;283.003.124.470.608;0.367606755175708;0.8840430089233;-0.344370716257107;394.646.150.509.554
A1618814495304828508;201806;80000;65;2;1;1;0;1;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;NA;1;2;1955;3;13;7;0;0;1;342.374.790.148.863;0.150040512445636;0.539809115964701;-0.337151754127494;394.655.669.485.782
A973901619910152003;201806;166000;123;4;2;0;1;1;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1977;2;1;1977;7;24;4;0;1;0;316.046.337.467.496;0.363587782228625;102.097.576.841.799;-0.341160561874234;394.622.354.087.183
A15735875492793944919;201806;58000;80;3;1;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1952;NA;NA;1952;4;9;7;0;0;1;31.711.449.553.991;0.183515848111161;0.816033165396011;-0.340476566079876;394.640.215.089.614
